_unit_id,sidewalk_ok,sidewalk_ok_confidence,address,lat,long,sidewalk_ok_gold,sidewalk_ok_gold_reason,street,city,state_zip,country,state,zip
752055140,yes,0.9581,"3255 Southwest Willamette Avenue, Corvallis, OR 97333, USA",44.5468192,-123.2855851,"","There is a sidewalk available, it does look safe and wide enough",3255 Southwest Willamette Avenue,Corvallis,OR 97333,USA,OR,97333
752055141,"","","2930 Chad Drive, Eugene, OR 97408, USA",44.087738,-123.060699,"","",2930 Chad Drive,Eugene,OR 97408,USA,OR,97408
752055142,"","","2221 Northeast 3rd Street, Bend, OR 97701, USA",44.0720964,-121.3028506,"","",2221 Northeast 3rd Street,Bend,OR 97701,USA,OR,97701
752055143,no,1,"373 Woodlane Drive, Springfield, OR 97477, USA",44.069007,-123.021269,no,"",373 Woodlane Drive,Springfield,OR 97477,USA,OR,97477
Not sure,"","","","","","","","","","","","",""
752055144,"","","500 Valley River Center, Eugene, OR 97401, USA",44.0672632,-123.1077834,"","",500 Valley River Center,Eugene,OR 97401,USA,OR,97401
752055145,no,0.821,"2100 Westwood Lane, Eugene, OR 97401, USA",44.065615,-123.0802803,no,The sidewalk/pedestrian path is not safe for wheelchairs ��� it is not continuous or not wide enough or there seems to be other issues with the sidewalk,2100 Westwood Lane,Eugene,OR 97401,USA,OR,97401
752055146,"","","106 Cleveland Street, Eugene, OR 97402, USA",44.059878,-123.130343,"","",106 Cleveland Street,Eugene,OR 97402,USA,OR,97402
752055147,yes,1,"1108 7th Street, Springfield, OR 97477, USA",44.055242,-123.01708,yes,"There is a sidewalk available, it does look safe and wide enough",1108 7th Street,Springfield,OR 97477,USA,OR,97477
752055148,yes,0.5572,"2231 F Street, Springfield, OR 97477, USA",44.050752,-122.993708,"","There is a sidewalk available, it does look safe and wide enough",2231 F Street,Springfield,OR 97477,USA,OR,97477
752055149,yes,0.9115,"632 West D Street, Springfield, OR 97477, USA",44.04953,-123.034662,"","",632 West D Street,Springfield,OR 97477,USA,OR,97477
752055150,no,0.5649,"909 Southeast 2nd Street, Bend, OR 97702, USA",44.041397,-121.304198,"","",909 Southeast 2nd Street,Bend,OR 97702,USA,OR,97702
752055151,"","","19630 Mountaineer Way, Bend, OR 97702, USA",44.039481,-121.341555,"","",19630 Mountaineer Way,Bend,OR 97702,USA,OR,97702
752055152,yes,0.9168,"3231 Michael Lane, Eugene, OR 97405, USA",44.0215699,-123.134635,yes,"",3231 Michael Lane,Eugene,OR 97405,USA,OR,97405
Not sure,"","","","","","","","","","","","",""
752055153,"","","2230 Biddle Road, Medford, OR 97504, USA",42.3489081,-122.8717499,"","",2230 Biddle Road,Medford,OR 97504,USA,OR,97504
752055154,"","","1299 Sunset Avenue, Medford, OR 97501, USA",42.326867,-122.89489,"","",1299 Sunset Avenue,Medford,OR 97501,USA,OR,97501
752055155,yes,1,"1724 Whitman Avenue, Medford, OR 97501, USA",42.30388,-122.873748,yes,"There is a sidewalk available, it does look safe and wide enough",1724 Whitman Avenue,Medford,OR 97501,USA,OR,97501
752055156,"",0,"56 Rue Pierre Pascal Fauvelle, 66000 Perpignan, France",42.6852925,2.8673491,"","",56 Rue Pierre Pascal Fauvelle,66000 Perpignan,France,"",France,""
752055157,no,0.525,"1 Cours d'Arnhem, 35200 Rennes, France",48.0855609,-1.6587163,"","",1 Cours d'Arnhem,35200 Rennes,France,"",France,""
752055158,yes,1,"8 Rue des Essillards, 51100 Reims, France",49.2338437,4.0497825,"","",8 Rue des Essillards,51100 Reims,France,"",France,""
752055159,yes,0.9205,"65 Chemin sous les Vignes, 57050 Metz, France",49.1345127,6.1483691,"","",65 Chemin sous les Vignes,57050 Metz,France,"",France,""
752055160,no,0.891,"1 All̩e Vauban, 69300 Caluire-et-Cuire, France",45.7954596,4.8489787,"","",1 All̩e Vauban,69300 Caluire-et-Cuire,France,"",France,""
752055161,"","",Penguins,77.554497,166.163622,"","",Penguins,"","","","",""
"not_avail\"","","","","","","","","","","","","",""
752055162,yes,1,"2345 Southwest Roxbury Avenue, Portland, OR 97225, USA",45.503084,-122.788185,yes,"There is a sidewalk available, it does look safe and wide enough",2345 Southwest Roxbury Avenue,Portland,OR 97225,USA,OR,97225
752055163,"","","11650 Southwest Riverwood Road, Portland, OR 97219, USA",45.440947,-122.648567,"","",11650 Southwest Riverwood Road,Portland,OR 97219,USA,OR,97219
752055164,yes,0.9224,"10505 Southwest Clydesdale Place, Tigard, OR 97223, USA",45.432026,-122.784792,yes,"There is a sidewalk available, it does look safe and wide enough",10505 Southwest Clydesdale Place,Tigard,OR 97223,USA,OR,97223
752055165,yes,1,"5037 Northeast 33rd Avenue, Portland, OR 97211, USA",45.5596379,-122.630976,yes,"There is a sidewalk available, it does look safe and wide enough",5037 Northeast 33rd Avenue,Portland,OR 97211,USA,OR,97211
752055166,yes,0.9007,"2214 North Wygant Street, Portland, OR 97217, USA",45.557412,-122.690338,yes,"",2214 North Wygant Street,Portland,OR 97217,USA,OR,97217
Not sure,"","","","","","","","","","","","",""
752055167,"","","7715 Southwest Nyberg Street, Tualatin, OR 97062, USA",45.3830787,-122.7568875,"","",7715 Southwest Nyberg Street,Tualatin,OR 97062,USA,OR,97062
"not_avail\"","","","","","","","","","","","","",""
752055168,no,0.7674,"1621 Southeast 87th Avenue, Portland, OR 97216, USA",45.5112049,-122.574414,no,The sidewalk/pedestrian path is not safe for wheelchairs ��� it is not continuous or not wide enough or there seems to be other issues with the sidewalk,1621 Southeast 87th Avenue,Portland,OR 97216,USA,OR,97216
752055169,no,0.8834,"321 5th Street, Lake Oswego, OR 97034, USA",45.418923,-122.669066,no,The sidewalk/pedestrian path is not safe for wheelchairs ��� it is not continuous or not wide enough or there seems to be other issues with the sidewalk,321 5th Street,Lake Oswego,OR 97034,USA,OR,97034
752055170,yes,1,"8520 North Bayard Avenue, Portland, OR 97217, USA",45.5849115,-122.700169,yes,"There is a sidewalk available, it does look safe and wide enough",8520 North Bayard Avenue,Portland,OR 97217,USA,OR,97217
752055171,"","","1620 Southwest Walters Drive, Gresham, OR 97080, USA",45.484963,-122.440431,"","",1620 Southwest Walters Drive,Gresham,OR 97080,USA,OR,97080
752055172,"",0,"3415 Southeast 115th Avenue, Portland, OR 97266, USA",45.497506,-122.546122,"","",3415 Southeast 115th Avenue,Portland,OR 97266,USA,OR,97266
752055173,yes,0.927,"10735 Southwest Wakefield Street, Portland, OR 97225, USA",45.505646,-122.787249,yes,"There is a sidewalk available, it does look safe and wide enough",10735 Southwest Wakefield Street,Portland,OR 97225,USA,OR,97225
752055174,yes,0.9598,"8659 Southeast Foster Road, Portland, OR 97266, USA",45.481511,-122.57345,yes,"There is a sidewalk available, it does look safe and wide enough",8659 Southeast Foster Road,Portland,OR 97266,USA,OR,97266
752055175,"","","228 Southeast 160th Avenue, Portland, OR 97233, USA",45.5209468,-122.498258,"","",228 Southeast 160th Avenue,Portland,OR 97233,USA,OR,97233
752055176,yes,1,"2121 Southeast Kelly Avenue, Gresham, OR 97080, USA",45.481929,-122.42604,"","There is a sidewalk available, it does look safe and wide enough",2121 Southeast Kelly Avenue,Gresham,OR 97080,USA,OR,97080
752055177,yes,0.9627,"2124 Northeast 41st Avenue, Portland, OR 97212, USA",45.538206,-122.620627,yes,"There is a sidewalk available, it does look safe and wide enough",2124 Northeast 41st Avenue,Portland,OR 97212,USA,OR,97212
752055178,yes,0.9193,"3639 Southeast 49th Avenue, Portland, OR 97206, USA",45.496197,-122.612921,"","There is a sidewalk available, it does look safe and wide enough",3639 Southeast 49th Avenue,Portland,OR 97206,USA,OR,97206
752055179,no,0.8932,"18311 Northeast Glisan Street, Portland, OR 97230, USA",45.5266779,-122.474598,no,"",18311 Northeast Glisan Street,Portland,OR 97230,USA,OR,97230
Not sure,"","","","","","","","","","","","",""
752055180,"","","13711 Fielding Road, Lake Oswego, OR 97034, USA",45.426044,-122.6587,"","",13711 Fielding Road,Lake Oswego,OR 97034,USA,OR,97034
752055181,"","","3148 Southeast Lake Road, Milwaukie, OR 97222, USA",45.436621,-122.632293,"","",3148 Southeast Lake Road,Milwaukie,OR 97222,USA,OR,97222
752055182,yes,0.9612,"3731 Southeast Flavel Street, Portland, OR 97202, USA",45.469337,-122.623651,yes,"There is a sidewalk available, it does look safe and wide enough",3731 Southeast Flavel Street,Portland,OR 97202,USA,OR,97202
752055183,"","","5900 Southwest Prosperity Park Road, Tualatin, OR 97062, USA",45.367782,-122.736988,"","",5900 Southwest Prosperity Park Road,Tualatin,OR 97062,USA,OR,97062
752055184,"","","2418 Gallagher Road, Dover, FL 33527, USA",27.980981,-82.236686,"","",2418 Gallagher Road,Dover,FL 33527,USA,FL,33527
752055185,"","","2752 Northwest Crystal Lake Drive, Jensen Beach, FL 34957, USA",27.238715,-80.280412,"","",2752 Northwest Crystal Lake Drive,Jensen Beach,FL 34957,USA,FL,34957
752055186,no,0.9049,"2521 West Diana Street, Tampa, FL 33614, USA",28.006868,-82.486988,"","",2521 West Diana Street,Tampa,FL 33614,USA,FL,33614
752055187,no,0.8401,"1712 Fairway Avenue South, Saint Petersburg, FL 33712, USA",27.725744,-82.65692,no,The sidewalk/pedestrian path is not safe for wheelchairs ��� it is not continuous or not wide enough or there seems to be other issues with the sidewalk,1712 Fairway Avenue South,Saint Petersburg,FL 33712,USA,FL,33712
752055188,yes,1,"13201 Southwest 17th Court, Miramar, FL 33027, USA",25.992766,-80.322621,yes,"There is a sidewalk available, it does look safe and wide enough",13201 Southwest 17th Court,Miramar,FL 33027,USA,FL,33027
752055189,"","","3020 Rocky Point Road, Malabar, FL 32950, USA",27.972931,-80.546048,"","",3020 Rocky Point Road,Malabar,FL 32950,USA,FL,32950
752055190,"","","250 South Smokey Mountain Road, Seffner, FL 33584, USA",27.9936,-82.255553,"","",250 South Smokey Mountain Road,Seffner,FL 33584,USA,FL,33584
752055191,"","","18530 Southeast Giese Road, Gresham, OR 97080, USA",45.47175,-122.471895,"","",18530 Southeast Giese Road,Gresham,OR 97080,USA,OR,97080
752055192,"","","590 Southwest Brookwood Avenue, Hillsboro, OR 97123, USA",45.515796,-122.934329,"","",590 Southwest Brookwood Avenue,Hillsboro,OR 97123,USA,OR,97123
752055193,"","","526 Valley River Center, Eugene, OR 97401, USA",44.0685566,-123.1069425,"","",526 Valley River Center,Eugene,OR 97401,USA,OR,97401
752055194,"",0,"461 I-205 Multi Use Path, Portland, OR 97266, USA",45.4972766,-122.5671725,"","",461 I-205 Multi Use Path,Portland,OR 97266,USA,OR,97266
752055195,"","","2706 Viola Lane, Valrico, FL 33594, USA",27.948372,-82.2398599,"","",2706 Viola Lane,Valrico,FL 33594,USA,FL,33594
752055196,yes,0.9637,"8790 Southwest Reiling Street, Tigard, OR 97224, USA",45.411288,-122.76592,yes,"There is a sidewalk available, it does look safe and wide enough",8790 Southwest Reiling Street,Tigard,OR 97224,USA,OR,97224
752055197,yes,0.9218,"3511 Pine Top Drive, Valrico, FL 33594, USA",27.95012,-82.226149,yes,"There is a sidewalk available, it does look safe and wide enough",3511 Pine Top Drive,Valrico,FL 33594,USA,FL,33594
752055198,no,0.8413,"245 Gloucestershire Road, Winston-Salem, NC 27104, USA",36.0950879,-80.325255,"","",245 Gloucestershire Road,Winston-Salem,NC 27104,USA,NC,27104
752055199,"",0,"2401 East Lake Street, Minneapolis, MN 55406, USA",44.9479713,-93.2366186,"","",2401 East Lake Street,Minneapolis,MN 55406,USA,MN,55406
752055200,no,0.9455,"5012 Red Tail Run, Buffalo, NY 14221, USA",42.982936,-78.68519,no,The sidewalk/pedestrian path is missing.,5012 Red Tail Run,Buffalo,NY 14221,USA,NY,14221
752055201,yes,0.9648,"3749 East Hopi Avenue, Mesa, AZ 85206, USA",33.387686,-111.750658,yes,"There is a sidewalk available, it does look safe and wide enough",3749 East Hopi Avenue,Mesa,AZ 85206,USA,AZ,85206
752055202,"","","3942 300 West, Murray, UT 84107, USA",40.685811,-111.902022,"","",3942 300 West,Murray,UT 84107,USA,UT,84107
"not_avail\"","","","","","","","","","","","","",""
752055203,yes,1,"436 Loma Vista Street, El Segundo, CA 90245, USA",33.9220023,-118.4215179,yes,"There is a sidewalk available, it does look safe and wide enough",436 Loma Vista Street,El Segundo,CA 90245,USA,CA,90245
752055204,yes,0.9628,"2229 Morning Vista Drive, Memphis, TN 38134, USA",35.186273,-89.840476,yes,"There is a sidewalk available, it does look safe and wide enough",2229 Morning Vista Drive,Memphis,TN 38134,USA,TN,38134
752055205,"","","11039 Stonebridge Drive, El Paso, TX 79934, USA",31.933075,-106.394447,"","",11039 Stonebridge Drive,El Paso,TX 79934,USA,TX,79934
752055206,"","","6505 Ridge Road, Parma, OH 44129, USA",41.3870967,-81.7334024,"","",6505 Ridge Road,Parma,OH 44129,USA,OH,44129
752055207,"",0,"9 Endo Boulevard, Garden City, NY 11530, USA",40.73292,-73.586285,"","",9 Endo Boulevard,Garden City,NY 11530,USA,NY,11530
752055208,yes,0.9606,"270 Reist Street, Buffalo, NY 14221, USA",42.9684529,-78.7535259,yes,"There is a sidewalk available, it does look safe and wide enough",270 Reist Street,Buffalo,NY 14221,USA,NY,14221
752055209,"","","4105 West 127th Street, Alsip, IL 60803, USA",41.6613707,-87.7224827,"","",4105 West 127th Street,Alsip,IL 60803,USA,IL,60803
752055210,yes,1,"7330 Yardley Way, Tampa, FL 33647, USA",28.093298,-82.358771,yes,"There is a sidewalk available, it does look safe and wide enough",7330 Yardley Way,Tampa,FL 33647,USA,FL,33647
752055211,yes,1,"18603 East Linvale Place, Aurora, CO 80013, USA",39.666901,-104.7719154,yes,"There is a sidewalk available, it does look safe and wide enough",18603 East Linvale Place,Aurora,CO 80013,USA,CO,80013
752055212,yes,1,"5364 East Forge Avenue, Mesa, AZ 85206, USA",33.396257,-111.714939,yes,"There is a sidewalk available, it does look safe and wide enough",5364 East Forge Avenue,Mesa,AZ 85206,USA,AZ,85206
752055213,yes,1,"437 Ridgewood Avenue, Glen Ridge, NJ 07028, USA",40.815449,-74.198831,yes,"There is a sidewalk available, it does look safe and wide enough",437 Ridgewood Avenue,Glen Ridge,NJ 07028,USA,NJ,07028
752055214,"","","10780 North Calle Floreada, Tucson, AZ 85736, USA",32.053812,-111.234127,"","",10780 North Calle Floreada,Tucson,AZ 85736,USA,AZ,85736
752055215,yes,1,"2830 Colony Drive, Sugar Land, TX 77479, USA",29.583418,-95.609426,yes,"There is a sidewalk available, it does look safe and wide enough",2830 Colony Drive,Sugar Land,TX 77479,USA,TX,77479
752055216,yes,0.9636,"5734 North 34th Street, Omaha, NE 68111, USA",41.31122,-95.964165,"","",5734 North 34th Street,Omaha,NE 68111,USA,NE,68111
752055217,"",0,"2011 Garfield Avenue, Commerce, CA 90040, USA",34.0054697,-118.1315784,"","",2011 Garfield Avenue,Commerce,CA 90040,USA,CA,90040
752055218,"","","6315 Varney Drive, San Diego, CA 92114, USA",32.695672,-117.061361,"","",6315 Varney Drive,San Diego,CA 92114,USA,CA,92114
752055219,"","","450 East Irvington Road, Tucson, AZ 85714, USA",32.1613169,-110.962619,"","",450 East Irvington Road,Tucson,AZ 85714,USA,AZ,85714
752055220,yes,1,"2251 South 800 East, Salt Lake City, UT 84106, USA",40.721911,-111.867849,yes,"There is a sidewalk available, it does look safe and wide enough",2251 South 800 East,Salt Lake City,UT 84106,USA,UT,84106
752055221,"","","1926 King Road, Toledo, OH 43617, USA",41.655897,-83.720556,"","",1926 King Road,Toledo,OH 43617,USA,OH,43617
752055222,"","","24625 North 115th Avenue, Sun City, AZ 85373, USA",33.707547,-112.307583,"","",24625 North 115th Avenue,Sun City,AZ 85373,USA,AZ,85373
752055223,no,0.9663,"4770 Helenwood Drive, Buffalo, NY 14221, USA",42.97729,-78.687826,no,The sidewalk/pedestrian path is missing.,4770 Helenwood Drive,Buffalo,NY 14221,USA,NY,14221
752055224,yes,0.8385,"993 Grant Street, Buffalo, NY 14207, USA","","","","",993 Grant Street,Buffalo,NY 14207,USA,NY,14207
"apartment_blocks\"","","","","","","","","","","","","",""
752055225,"","","Rod and Gun Club Trail, Denver, CO 80239, USA",39.80913785,-104.8424165,"","",Rod and Gun Club Trail,Denver,CO 80239,USA,CO,80239
752055226,no,0.8838,"2648 33rd Street, Springfield, OR 97477, USA",44.07383146,-122.9791423,"","",2648 33rd Street,Springfield,OR 97477,USA,OR,97477
752055227,"","","248 Germania Avenue, Murray, UT 84107, USA",40.66181246,-111.8967864,"","",248 Germania Avenue,Murray,UT 84107,USA,UT,84107
"not_avail\"","","","","","","","","","","","","",""
752055228,"","","2650 21st Avenue, Sacramento, CA 95820, USA",38.53314748,-121.4796215,"","",2650 21st Avenue,Sacramento,CA 95820,USA,CA,95820
752055229,"","","6200 Franklin Boulevard, Sacramento, CA 95824, USA",38.51409865,-121.4714076,"","",6200 Franklin Boulevard,Sacramento,CA 95824,USA,CA,95824
752055230,yes,1,"29829 Newport Drive, Warren, MI 48088, USA",42.51326432,-82.99589473,yes,"There is a sidewalk available, it does look safe and wide enough",29829 Newport Drive,Warren,MI 48088,USA,MI,48088
752055231,"","","7441 Lincoln Way, Garden Grove, CA 92841, USA",33.79880832,-118.0022953,"","",7441 Lincoln Way,Garden Grove,CA 92841,USA,CA,92841
752055232,yes,1,"28913 Edgewood Drive, Willowick, OH 44095, USA",41.62641372,-81.47927175,"","",28913 Edgewood Drive,Willowick,OH 44095,USA,OH,44095
752055233,yes,1,"47040 West Wayford, Shelby charter Township, MI 48315, USA",42.64164199,-82.98952362,"","",47040 West Wayford,Shelby charter Township,MI 48315,USA,MI,48315
752055234,no,1,"45544 Remer Court, Utica, MI 48317, USA",42.63105711,-83.02227843,"","",45544 Remer Court,Utica,MI 48317,USA,MI,48317
752055235,"","","46942 Houghton Drive, Shelby charter Township, MI 48315, USA",42.64061632,-82.99851595,"","",46942 Houghton Drive,Shelby charter Township,MI 48315,USA,MI,48315
752055236,yes,1,"14225 Thames Drive, Shelby charter Township, MI 48315, USA",42.63999429,-82.98496152,"","",14225 Thames Drive,Shelby charter Township,MI 48315,USA,MI,48315
752055237,yes,1,"15986 Haverhill Drive, Macomb, MI 48044, USA",42.64858333,-82.96545337,"","",15986 Haverhill Drive,Macomb,MI 48044,USA,MI,48044
752055238,yes,1,"48595 Hunter Drive, Macomb, MI 48044, USA",42.65434112,-82.9490856,"","",48595 Hunter Drive,Macomb,MI 48044,USA,MI,48044
752055239,yes,1,"47943 Lamplighter Trail, Macomb, MI 48044, USA",42.64992757,-82.93071924,"","",47943 Lamplighter Trail,Macomb,MI 48044,USA,MI,48044
752055240,yes,1,"4816 West Cheryl Drive, Glendale, AZ 85302, USA",33.57920947,-112.162725,"","",4816 West Cheryl Drive,Glendale,AZ 85302,USA,AZ,85302
752055241,yes,1,"4428 West Turquoise Avenue, Glendale, AZ 85302, USA",33.57566712,-112.1542944,"","",4428 West Turquoise Avenue,Glendale,AZ 85302,USA,AZ,85302
752055242,yes,1,"8301-8303 West Villard Avenue, Milwaukee, WI 53218, USA",43.11204836,-88.01494937,"","",8301-8303 West Villard Avenue,Milwaukee,WI 53218,USA,WI,53218
752055243,yes,1,"8245 West Lancaster Avenue, Milwaukee, WI 53218, USA",43.11040927,-88.01442332,"","",8245 West Lancaster Avenue,Milwaukee,WI 53218,USA,WI,53218
752055244,"","","11400-11548 North 31st Avenue, Phoenix, AZ 85029, USA",33.59123543,-112.1254042,"","",11400-11548 North 31st Avenue,Phoenix,AZ 85029,USA,AZ,85029
752055245,"","","3102 West Cholla Street, Phoenix, AZ 85029, USA",33.59060361,-112.1279664,"","",3102 West Cholla Street,Phoenix,AZ 85029,USA,AZ,85029
752055246,yes,1,"1704-1740 Warrensville Center Road, Cleveland Heights, OH 44121, USA",41.51159289,-81.53651099,"","",1704-1740 Warrensville Center Road,Cleveland Heights,OH 44121,USA,OH,44121
752055247,yes,1,"4042 Stonehaven Road, South Euclid, OH 44121, USA",41.50865792,-81.53456329,"","",4042 Stonehaven Road,South Euclid,OH 44121,USA,OH,44121
752055248,yes,1,"3200 Pierce Court, Antioch, CA 94509, USA",37.98738196,-121.8211411,"","",3200 Pierce Court,Antioch,CA 94509,USA,CA,94509
752055249,yes,1,"3008 Longview Road, Antioch, CA 94509, USA",37.98854592,-121.8172157,"","",3008 Longview Road,Antioch,CA 94509,USA,CA,94509
752055250,yes,1,"4481 West 62nd Street, Windsor Hills, CA 90043, USA",33.98372729,-118.3544232,"","",4481 West 62nd Street,Windsor Hills,CA 90043,USA,CA,90043
752055251,yes,1,"1314 North Park Avenue, Inglewood, CA 90302, USA",33.97989595,-118.3453849,"","",1314 North Park Avenue,Inglewood,CA 90302,USA,CA,90302
752055252,yes,1,"4512 Ladoga Avenue, Lakewood, CA 90713, USA",33.83996592,-118.103133,"","",4512 Ladoga Avenue,Lakewood,CA 90713,USA,CA,90713
752055253,yes,1,"4523 Knoxville Avenue, Lakewood, CA 90713, USA",33.84024667,-118.1044946,"","",4523 Knoxville Avenue,Lakewood,CA 90713,USA,CA,90713
752055254,yes,1,"5722 87th Place, Lubbock, TX 79424, USA",33.51417678,-101.9389955,"","",5722 87th Place,Lubbock,TX 79424,USA,TX,79424
752055255,yes,1,"6005 88th Place, Lubbock, TX 79424, USA",33.51345821,-101.9453842,"","",6005 88th Place,Lubbock,TX 79424,USA,TX,79424
752055256,yes,1,"354 Niver Avenue, Allen Park, MI 48101, USA",42.2402245,-83.21466597,"","",354 Niver Avenue,Allen Park,MI 48101,USA,MI,48101
752055257,yes,1,"406 Reeck Road, Allen Park, MI 48101, USA",42.23226655,-83.22024518,"","",406 Reeck Road,Allen Park,MI 48101,USA,MI,48101
752055258,yes,1,"North Wantagh Avenue, Bethpage, NY 11714, USA",40.73010542,-73.49668564,"","",North Wantagh Avenue,Bethpage,NY 11714,USA,NY,11714
752055259,yes,1,"3628 Prairie Path, Bethpage, NY 11714, USA",40.73759458,-73.50067681,"","",3628 Prairie Path,Bethpage,NY 11714,USA,NY,11714
752055260,yes,1,"22004 Cedar Street, Saint Clair Shores, MI 48081, USA",42.49496866,-82.89335898,"","",22004 Cedar Street,Saint Clair Shores,MI 48081,USA,MI,48081
752055261,yes,1,"26622 Rosewood Street, Roseville, MI 48066, USA",42.49234793,-82.93694691,"","",26622 Rosewood Street,Roseville,MI 48066,USA,MI,48066
752055262,"","","26000-26054 Belleair Street, Roseville, MI 48066, USA",42.48815321,-82.92527963,"","",26000-26054 Belleair Street,Roseville,MI 48066,USA,MI,48066
752055263,yes,1,"5616 Green Hollow Lane, The Colony, TX 75056, USA",33.08985517,-96.86951263,"","",5616 Green Hollow Lane,The Colony,TX 75056,USA,TX,75056
752055264,yes,1,"Morning Star Drive, The Colony, TX 75056, USA",33.09088557,-96.86368698,"","",Morning Star Drive,The Colony,TX 75056,USA,TX,75056
752055265,yes,1,"3552 27th Avenue South, Minneapolis, MN 55406, USA",44.93797693,-93.23373594,"","",3552 27th Avenue South,Minneapolis,MN 55406,USA,MN,55406
752055266,yes,1,"3928 22nd Avenue South, Minneapolis, MN 55407, USA",44.93135313,-93.24133991,"","",3928 22nd Avenue South,Minneapolis,MN 55407,USA,MN,55407
752055267,"","","6440 Del Amo Boulevard, Lakewood, CA 90713, USA",33.84667835,-118.1062368,"","",6440 Del Amo Boulevard,Lakewood,CA 90713,USA,CA,90713
752055268,yes,1,"4728 Conquista Avenue, Lakewood, CA 90713, USA",33.84405636,-118.1085523,"","",4728 Conquista Avenue,Lakewood,CA 90713,USA,CA,90713
752055269,yes,1,"3025 North 87th Drive, Phoenix, AZ 85037, USA",33.48240516,-112.2470733,"","",3025 North 87th Drive,Phoenix,AZ 85037,USA,AZ,85037
752055270,yes,1,"8537 West Monterey Way, Phoenix, AZ 85037, USA",33.4843586,-112.2425242,"","",8537 West Monterey Way,Phoenix,AZ 85037,USA,AZ,85037
752055271,yes,1,"10000 South Talman Avenue, Chicago, IL 60655, USA",41.71164523,-87.68836476,"","",10000 South Talman Avenue,Chicago,IL 60655,USA,IL,60655
752055272,yes,1,"2837 West 100th Place, Evergreen Park, IL 60805, USA",41.71055952,-87.69338282,"","",2837 West 100th Place,Evergreen Park,IL 60805,USA,IL,60805
752055273,yes,1,"5337 West Cinnabar Avenue, Glendale, AZ 85302, USA",33.57579152,-112.1755099,"","",5337 West Cinnabar Avenue,Glendale,AZ 85302,USA,AZ,85302
752055274,yes,1,"10036 North 49th Lane, Glendale, AZ 85302, USA",33.57777946,-112.16669,"","",10036 North 49th Lane,Glendale,AZ 85302,USA,AZ,85302
752055275,yes,1,"14822 Jenny Drive, Warren, MI 48088, USA",42.53294296,-82.97278297,"","",14822 Jenny Drive,Warren,MI 48088,USA,MI,48088
752055276,yes,1,"32343-32399 Bunert Road, Warren, MI 48088, USA",42.53433199,-82.97909762,"","",32343-32399 Bunert Road,Warren,MI 48088,USA,MI,48088
752055277,yes,1,"434 South Park Road, La Grange, IL 60525, USA",41.80553883,-87.88103436,"","",434 South Park Road,La Grange,IL 60525,USA,IL,60525
752055278,yes,1,"321 South Park Road, La Grange, IL 60525, USA",41.80795579,-87.88022813,"","",321 South Park Road,La Grange,IL 60525,USA,IL,60525
